datetime,timestamp,in_bed_pct,hr_mean,hr_std,dhr,rr_mean,rr_std,drr,large_move_pct,minor_move_pct,turnovers_delta,apnea_delta,flags,vib_move_pct,vib_resp_q,agree_flags
2000-01-01 04:55:42,946695342,0,0,0,0,0,0,0,71,28,0,0,3,99,47,7
2000-01-01 04:56:12,946695372,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 04:56:42,946695402,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 04:57:12,946695432,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 04:57:42,946695462,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 04:58:12,946695492,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 04:58:42,946695522,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 04:59:12,946695552,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 04:59:42,946695582,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:00:12,946695612,0,0,0,0,0,0,0,0,100,0,0,0,100,95,6
2000-01-01 05:00:42,946695642,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:01:12,946695672,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:01:42,946695702,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:02:12,946695732,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:02:42,946695762,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:03:12,946695792,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:03:42,946695822,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:04:12,946695852,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:04:42,946695882,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:05:12,946695912,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
2000-01-01 05:06:34,946695994,0,0,0,0,0,0,0,0,100,0,0,3,100,95,7
